Edge,CO2_Emissions,CO_Emissions,HC_Emissions,NOx_Emissions,Mean_Speed,Estimated_Travel_Time,Traffic_Level,Total_Neighbours,Length,Step_Count
-279472120#1,2248.4098626793616,11.009240077555692,0.09894539364495772,0.7274399698394765,11.255835585314198,33.415555615500836,1,12,376.12,20
-36943638#8,3545.311642466973,0.0,0.07066633705046182,1.1133091364858467,20.496547874548593,21.38945556507063,1,14,438.41,20
-37948403#2,3501.9549239038524,41.407490155129736,0.26849878006612704,1.3327160870561068,10.71556329400771,4.906881566310513,1,10,52.58,20
-391074592#0,10148.214894509169,139.84083955481378,0.8834226266877058,4.3118014394436495,17.02719221452717,2.618752371982795,1,10,44.59,20
-49000300#0,4013.731633399294,135.81174886518477,0.712577818677452,1.7624367499612967,3.5554057913366703,34.12268728807724,1,10,121.32,20
104734422#2,6282.304218001171,144.4592277414549,0.8073569714578533,2.757677598988702,8.040161722019985,10.59555801802916,2,12,85.19,20
37948285#4,4378.157543266908,33.998457070243056,0.2570492457210812,1.6578644204697681,14.22280890723312,9.886935901141625,1,12,140.62,20
37948285#6,5161.878122077742,113.29573753203948,0.6374444573783471,2.211298018473233,7.038935051159934,1.7033826726422472,1,10,11.99,20
391074592#0,3937.3461821579526,150.75847018695643,0.7792623193443475,1.7559750668486194,2.465745268156752,18.132448869474096,1,10,44.71,20
4021002#5,7828.269375368105,138.58995128432605,0.8185615812277734,3.3970262615777718,9.823632698087023,5.74125700067989,1,12,56.4,20
49000030#2,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,232740.0,1,12,232.74,20
63664885#3,6207.315519450565,73.05387456727063,0.48029668751616317,2.5268718605568488,13.985733481184958,8.728895067551125,1,10,122.08,20
-115680384,2220.014362891626,8.732303618006844,0.08788625994126917,0.7087866764680841,11.462632227848673,52.81771132193327,1,6,605.43,40
-15801485#1,6519.472340782441,58.177061270642824,0.4233400984152455,2.5156316261790264,20.542753167495263,19.803577285040355,1,12,406.82,40
-15801604#0,5307.910867275647,34.13115213509185,0.2853796574872078,1.892818047330421,22.739833476239347,5.148234709912252,1,12,117.07,40
-18651172#1,5765.802156840208,43.40315454482171,0.33888217986584873,2.1116850871235715,22.618217418324804,15.382733022900135,1,14,347.93,40
-193740490#0,5166.529747278339,135.0649611229298,0.7371560878245076,2.259358401775328,5.3074479794957,81.125618501288,1,12,430.57,40
-193740497#3,12882.885948085685,189.48251697933617,1.1791349764494792,5.528377689403301,20.115340472139522,56.430563607520455,1,7,1135.12,40
-26704742#2,7197.072987133935,139.57976135863635,0.8074846329383809,3.1351957851177747,8.431847823155113,16.7436608156398,1,9,141.18,40
-279472120#1,3977.581472880139,44.731659893916564,0.29550005666882617,1.5375412782847375,11.485611982009722,32.747057848474135,1,12,376.12,40
-31671458#1,9044.569253991129,156.57438197362745,0.9306843813251664,3.951164348736329,10.595375216333194,3.8365795613671523,1,12,40.65,40
-31671458#3,15162.22581920743,242.71648833278573,1.482326362171541,6.487303433728715,25.173172314860203,7.095649200103287,1,10,178.62,40
-36937984#1,5272.0132113433265,103.44073439985215,0.595116315269629,2.2352803932074745,8.107238567387107,10.115651503077839,1,12,82.01,40
-36943638#1,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,4820.0,1,14,4.82,40
-36943638#4,6701.96578009026,64.95128762912259,0.4574200158527317,2.652643257775185,18.39680361136653,0.7381717110688484,1,12,13.58,40
-49000030#2,3776.497855897643,38.328668165357,0.26137088823547777,1.4354479889681313,11.769944860345003,19.77324471451926,1,12,232.73,40
-571710225#1,10118.017744300281,160.42932874470787,0.9751480377491657,4.398831998053822,12.91940291768232,9.477218164039206,1,11,122.44,40
111771216#5,10781.840606802825,158.34520972817612,0.9828877022637855,4.643921666936206,15.66755984243937,7.3680905744685825,1,11,115.44,40
193740491#1,5286.523972351388,145.10695582832147,0.7860601131634425,2.330997473308862,4.745573588763364,94.66716543259186,1,11,449.25,40
36943849#8,12864.413127216305,197.96246531394397,1.2153440136730678,5.60794405931881,16.431945523779287,4.813185382433619,1,12,79.09,40
37948285#10,2644.621876799089,0.0,0.048072223448957355,0.8366347268729788,13.051493729912327,14.114859479861046,2,10,184.22,40
37948285#5,2707.293166057543,112.20291186994446,0.5727004106552163,1.1519844468135954,3.333179784561374,4.839222917020844,1,11,16.13,40
4021002#0,6375.02086882062,90.43355678565646,0.563242300344211,2.6570623590313898,11.94947644160129,12.57460950145732,1,11,150.26,40
49000030#4,2615.3827992512647,0.0,0.014388281408005656,0.7905502574305543,15.66304766429621,10.997859656180786,1,12,172.26,40
49000300#7,4947.713053605541,123.06332551709886,0.6768889004256785,2.1407611833852704,5.884118996188045,35.194733507966234,1,14,207.09,40
571710224#1,3734.8778901176133,149.35935275692356,0.7679507232179156,1.6652522330499566,2.2892316372599453,5.241933496237709,1,12,12.0,40
63664894#0,5070.681885180331,108.89640550668645,0.615100569391951,2.162601737336488,7.254401061781884,6.910287916682493,1,12,50.13,40
-111771273#4,12071.45893131793,172.72739965153391,1.0841139889924594,5.098388956004895,22.130515493452553,17.209269260477768,1,12,380.85,60
-115680384,2660.5700203726265,16.9002032619512,0.1360391218732752,0.9138260132151635,11.57472330310514,52.3062179670059,1,6,605.43,60
-193740483#1,6833.972062152634,64.50711180404971,0.4602955345976355,2.6534144952503116,20.99563698715062,3.7317276940895097,1,11,78.35,60
-193740497#3,3955.9956199255225,5.362358976990688,0.11917962789285202,1.3041764270685618,20.620886366591893,55.047100295311225,1,7,1135.12,60
-26704730#2,14735.336020129953,229.94500717517298,1.40850644674051,6.439038550913806,18.576003084141725,4.807277410296897,1,12,89.3,60
-36943638#12,19076.931428605487,280.75985668700605,1.7405964734905859,8.149515926048092,14.998246253971104,3.489741341334616,2,12,52.34,60
-36943639#0,6728.952035203988,62.62409744595225,0.448647407228974,2.619718464332459,20.31993588208792,5.484269273616886,1,12,111.44,60
-36943849#10,13102.452994830439,205.74134082847732,1.2564209216724576,5.736888590976899,15.75136890927583,5.615384955393473,1,11,88.45,60
-36943853,3426.2353727969776,147.8212212032735,0.7534377906819201,1.5278979563298922,1.9861219942336903,283.76907442558934,1,14,563.6,60
-37948285#11,2755.100786473104,2.9329539335463846,0.07514951493592276,0.9018059253377468,13.828150430495379,6.385524979918572,1,12,88.3,60
-49000300#7,8181.330996109589,125.20521583688287,0.7665142535031183,3.5013232915697525,12.269338502432074,16.87377033072824,1,14,207.03,60
-63664894#1,3189.380789663436,26.437550302572184,0.1926279130899781,1.159040977975363,11.744904440195809,4.046009930686823,1,12,47.52,60
-863271915#1,5188.355478979247,128.4011871023166,0.7071853989277127,2.2551096376033306,5.8540941007435325,3.524029447592885,1,12,20.63,60
104731235#0,12665.842497479713,188.17436500328526,1.1708889262799682,5.333837353260106,24.09138803905301,6.534285187089115,1,10,157.42,60
111771216#9,5411.555938213612,38.96901283813485,0.3069047033290442,2.0495731570143767,18.15348581922793,15.223522509780638,1,12,276.36,60
112397211#2,2867.3671286822123,12.235966112348772,0.12008929806423965,0.981409499869868,12.763213401550411,25.557826993660928,1,11,326.2,60
113080990#4,10336.13129007389,145.10828739496557,0.9119113218307118,4.409877480897388,16.639664595722415,3.608245806555174,1,12,60.04,60
15801485#2,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,19780.0,1,12,19.78,60
171669968#2,8251.735383596842,138.7114595254987,0.8296422970571145,3.5725550160246824,10.771395016835003,2.9262690627106567,1,12,31.52,60
193740491#1,3036.57200286339,0.0,0.05701206956035586,0.9802401648248524,16.033059224242493,28.020229559229705,1,11,449.25,60
244599303#5,12499.70635223177,194.70072027317755,1.19106077948697,5.459712680399898,15.456135575310325,6.750717182286691,1,12,104.34,60
37948285#13,5247.169013638632,57.460172183599205,0.3852754197217158,2.09041511249719,12.480600602774114,2.7450602010599465,2,11,34.26,60
37948388#3,2707.844790121049,1.9717278162760798,0.06959745316295267,0.8795549280609412,13.826240421966451,9.828412920124304,1,12,135.89,60
4020922#1,5447.025921694639,93.21890579991907,0.5527887259540306,2.2831796071084023,9.44395384463151,2.740377645398139,1,11,25.88,60
49000300#6,6624.894878121016,140.95628394079748,0.7997203014891974,2.8961223454995544,7.249117319099605,18.57743419949603,1,14,134.67,60
51750550#3,3977.3541710229133,31.707767356291594,0.23643545525229379,1.4927189521888624,13.26020948805877,5.6718560945608685,1,12,75.21,60
863271915#4,3170.0017199752274,0.0,0.029097501068563705,0.956266551182501,19.646568244653746,0.4738741078882034,1,13,9.31,60
863271915#7,5060.2572437530625,43.45564001726869,0.31731104526938675,1.9588749609539051,15.066110633239584,3.8370885099208536,1,12,57.81,60
-104731235#5,16157.962592484546,257.2525040305236,1.5708963405972454,7.017479629226112,22.528199560273404,4.148578307376542,1,12,93.46,80
-104732122#4,8322.948918727276,134.61063560959514,0.8127754177786817,3.5892792924572756,11.43430802358257,22.180616393831972,1,12,253.62,80
-111771273#4,13366.237232762507,209.19726719990055,1.278886582003281,5.850190011322656,16.20828444099477,23.497243115794287,1,12,380.85,80
-112397211#2,3368.9188459767156,20.479199557337104,0.1701448951647853,1.2104854609694706,13.065781081194974,24.946843818554868,1,11,325.95,80
-15801604#1,5617.0435293978135,39.58780505340652,0.31712230506311334,2.061779184470942,21.741977992933894,1.030724987730335,1,12,22.41,80
-178545213#1,4576.593384403687,143.5610482867133,0.7617410668561201,2.020928725846745,3.8184448729967695,12.188207908701521,1,10,46.54,80
-18651172#3,5784.622669657517,43.374214209011086,0.3373611297654196,2.1798084449042827,20.078584077997256,53.811065352162515,1,12,1080.45,80
-193740491#1,5438.095593172988,46.339808611288426,0.34020609154650994,2.111322097579844,16.119763845427112,27.892468172078658,1,11,449.62,80
-193740497#3,4829.995777252274,23.572370238167302,0.22358111787829635,1.7251143524724446,20.25832979372806,56.03225989298639,1,7,1135.12,80
-244599306#3,8598.645227304123,128.19381630931167,0.790620704103039,3.67838304978394,13.059304957254787,12.271709752131285,1,10,160.26,80
-26368108#3,7108.698778441248,129.43263640172253,0.7590057367959493,3.0725099893314294,9.241009743395262,21.89912202447768,1,8,202.37,80
-31671458#2,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,306870.0,1,12,306.87,80
-31899386#3,2788.976780467617,16.061954913170272,0.1354586872434222,0.9631403977099934,12.020132990322326,29.809986319493415,1,14,358.32,80
-36499548#0,9131.398398986956,112.19125647406587,0.7353745172881585,3.711227347432664,22.12378303262438,46.46176463058844,1,10,1027.91,80
-36943638#8,20523.85199289429,200.0064907908793,1.4091564121393438,8.0463602153158,19.936335392271022,21.99050083045674,3,14,438.41,80
-36943849#10,11860.540550607962,183.9386552930011,1.1260100818896903,5.169999152349093,14.972997392831703,5.907300834924695,1,11,88.45,80
